Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20150101001803,2000,Mitsubishi                                                            ,MONTERO SPORT                 ,Blue/Blue                                                             ,Sport Utility Vehicle                                                 
20150101014401,2004,Pontiac                                                               ,SUNFIRE                       ,Yellow/Yellow                                                         ,4-Door                                                                
20150101030601,1972,Chevrolet                                                             ,TRUCK                         ,Blue/Blue                                                             ,Pick-up Truck                                                         
20150101030601,1981,Chevrolet                                                             ,TRUCK                         ,Blue/Blue                                                             ,Pick-up Truck                                                         
20150101044401,1996,Mercury                                                               ,GRAND MARQUIS                 ,Black/Black                                                           ,4-Door                                                                
20150101085003,2007,Toyota                                                                ,CAMRY                         ,Gray/Gray                                                             ,4-Door                                                                
20150101152300,2003,Other - Carolina                                                      ,                              ,Black/Brown                                                           ,Other - Open trailer                                                  
20150101213301,1991,Mercedes Benz                                                         ,190E                          ,Black/Black                                                           ,4-Door                                                                
20150102085202,2012,Chevrolet                                                             ,EQUINOX                       ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20150102103901,1999,Honda                                                                 ,ACCORD                        ,Green/Green                                                           ,4-Door                                                                
20150102154102,2005,Dodge                                                                 ,DURANGO                       ,White/White                                                           ,Sport Utility Vehicle                                                 
20150102161304,2003,Honda                                                                 ,ACCORD                        ,White/White                                                           ,4-Door                                                                
20150102173305,2011,Chevrolet                                                             ,IMPALA                        ,White/White                                                           ,4-Door                                                                
20150103034900,2002,Dodge                                                                 ,CARAVAN                       ,Black/Black                                                           ,Van                                                                   
20150103060900,2000,General Motors Corp.                                                  ,TC6H0                         ,White/Orange                                                          ,Other - Box Truck                                                     
20150103090200,2003,Toyota                                                                ,SOLARA                        ,Blue/Blue                                                             ,2-Door                                                                
20150103102602,2005,Chevrolet                                                             ,SILVERADO                     ,Black/Black                                                           ,4-Door                                                                
20150103113000,2009,Subaru                                                                ,OUTBACK                       ,Black/Black                                                           ,Station Wagon                                                         
20150103120001,2012,Jeep - 1989 and Newer                                                 ,LIBERTY                       ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20150103192402,1999,Other - Hudson                                                        ,                              ,Yellow/Yellow                                                         ,Other - Trailer                                                       
20150103200101,2009,Nissan                                                                ,ARMADA                        ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20150104012802,2010,Jeep - 1989 and Newer                                                 ,WRANGLER                      ,Silver/                                                               ,Sport Utility Vehicle                                                 
20150104033600,2015,Ford                                                                  ,TAURUS                        ,Silver/Silver                                                         ,4-Door                                                                
20150104101800,2014,Honda                                                                 ,RIDGELINE                     ,Gray/Gray                                                             ,Pick-up Truck                                                         
20150104115301,2007,Mercedes Benz                                                         ,S550                          ,Black/Black                                                           ,4-Door                                                                
20150104164603,2005,Honda                                                                 ,CIVIC                         ,Silver/Silver                                                         ,4-Door                                                                
20150104191503,    ,Unknown                                                               ,                              ,Black/Black                                                           ,Moped                                                                 
20150105001903,1996,Honda                                                                 ,CIVIC                         ,Red/Red                                                               ,2-Door                                                                
20150105080005,2009,Kawasaki                                                              ,NINJA 600RR                   ,Black/Black                                                           ,Motorcycle                                                            
20150105094401,2007,General Motors Corp.                                                  ,SIERRA                        ,White/White                                                           ,Pick-up Truck                                                         
20150105123606,1999,Mitsubishi                                                            ,ECLIPSE                       ,Black/Black                                                           ,2-Door                                                                
20150105125500,1995,Chevrolet                                                             ,TAHOE                         ,Red/Gray                                                              ,Sport Utility Vehicle                                                 
20150105193401,2007,Harley-Davidson                                                       ,FLHX                          ,White/White                                                           ,Motorcycle                                                            
20150105213702,2011,Dodge                                                                 ,CHARGER                       ,Orange/Orange                                                         ,4-Door                                                                
20150105225900,1995,Honda                                                                 ,CIVIC                         ,Black/Red                                                             ,4-Door                                                                
20150106053201,1996,Acura                                                                 ,INTEGRA                       ,Black/Black                                                           ,4-Door                                                                
20150106065003,2006,Dodge                                                                 ,CARAVAN                       ,"Blue, Light/Blue, Light                                               ",Van                                                                   
20150106081103,2007,Dodge                                                                 ,CARAVAN                       ,Burgundy/Burgundy                                                     ,Van                                                                   
20150106101304,2005,Dodge                                                                 ,CARAVAN                       ,Blue/Black                                                            ,Van                                                                   
20150106104403,2003,Dodge                                                                 ,CARAVAN                       ,"Blue, Dark/Blue, Dark                                                 ",Van                                                                   
20150106115004,1999,Chrysler                                                              ,LHS                           ,Gold/Gold                                                             ,4-Door                                                                
20150106144902,2013,Volkswagen                                                            ,PASSAT                        ,White/White                                                           ,4-Door                                                                
20150106150503,1998,Ford                                                                  ,VAN                           ,White/White                                                           ,Van                                                                   
20150106151603,2000,Dodge                                                                 ,CARAVAN                       ,Green/Green                                                           ,Van                                                                   
20150106153905,2005,Chevrolet                                                             ,TAHOE                         ,Black/Black                                                           ,Sport Utility Vehicle                                                 
20150106154204,    ,Dodge                                                                 ,CARAVAN                       ,Red/Red                                                               ,Van                                                                   
20150106174701,    ,Dodge                                                                 ,RAM                           ,"Blue, Dark/Silver                                                     ",Pick-up Truck                                                         
20150106202400,2003,Nissan                                                                ,MAXIMA                        ,Silver/Silver                                                         ,4-Door                                                                
20150107082107,2015,Kia Motors                                                            ,SORRENTO                      ,Black/Black                                                           ,4-Door                                                                
20150107105201,2003,Cadillac                                                              ,DEVILLE                       ,Black/Black                                                           ,4-Door                                                                
20150107132807,2014,Dodge                                                                 ,JOURNEY                       ,White/White                                                           ,Sport Utility Vehicle                                                 
20150107143501,2003,Nissan                                                                ,MURANO                        ,Orange/Orange                                                         ,Sport Utility Vehicle                                                 
20150107145103,2014,Chevrolet                                                             ,SPARK                         ,White/White                                                           ,4-Door                                                                
20150107153103,2013,Nissan                                                                ,MAXIMA                        ,Black/Black                                                           ,4-Door                                                                
20150107182801,2010,Dodge                                                                 ,AVENGER                       ,Silver/Silver                                                         ,4-Door                                                                
20150108031400,1994,Toyota                                                                ,COROLLA                       ,White/White                                                           ,4-Door                                                                
20150108060202,2002,Chevrolet                                                             ,SUBURBAN                      ,Gray/Gray                                                             ,Sport Utility Vehicle                                                 
20150108092902,1997,Honda                                                                 ,ACCORD SE                     ,Red/Red                                                               ,2-Door                                                                
20150108130703,2014,Jeep - 1989 and Newer                                                 ,PATRIOT                       ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20150108152703,    ,General Motors Corp.                                                  ,                              ,White/White                                                           ,Other - UHAUL                                                         
20150108160604,2002,Toyota                                                                ,SOLARA                        ,Red/Red                                                               ,2-Door                                                                
20150108182002,1995,Nissan                                                                ,QUEST                         ,Beige/Beige                                                           ,4-Door                                                                
20150108200202,2015,Chevrolet                                                             ,IMPALA                        ,Gray/Gray                                                             ,4-Door                                                                
20150108223103,1993,Honda                                                                 ,CIVIC DELSO                   ,Gold/Gold                                                             ,2-Door                                                                
20150109085802,2006,Other - KING COBRA                                                    ,                              ,White/White                                                           ,Other - Trailer                                                       
