Complaint_No,Weapon_Type
20150101000306,Rifle                                   
20150101001001,"Personal Weapons (hands,feet,teeth,etc.)"
20150101001108,Handgun                                 
20150101001803,Not Applicable/None                     
20150101003706,Not Applicable/None                     
20150101005203,"Personal Weapons (hands,feet,teeth,etc.)"
20150101010400,"Personal Weapons (hands,feet,teeth,etc.)"
20150101010800,"Personal Weapons (hands,feet,teeth,etc.)"
20150101012804,"Personal Weapons (hands,feet,teeth,etc.)"
20150101015600,"Personal Weapons (hands,feet,teeth,etc.)"
20150101020201,Handgun                                 
20150101020301,"Personal Weapons (hands,feet,teeth,etc.)"
20150101020904,"Personal Weapons (hands,feet,teeth,etc.)"
20150101023802,Knife                                   
20150101023901,"Personal Weapons (hands,feet,teeth,etc.)"
20150101025301,Knife                                   
20150101030204,Handgun                                 
20150101030204,Undetermined Firearm                    
20150101030701,"Personal Weapons (hands,feet,teeth,etc.)"
20150101032000,Handgun                                 
20150101032301,"Personal Weapons (hands,feet,teeth,etc.)"
20150101032303,"Personal Weapons (hands,feet,teeth,etc.)"
20150101032901,"Personal Weapons (hands,feet,teeth,etc.)"
20150101034800,Handgun                                 
20150101040002,"Blunt Object(club,hammer,etc)           "
20150101040100,Handgun                                 
20150101040402,Knife                                   
20150101040402,"Personal Weapons (hands,feet,teeth,etc.)"
20150101041900,"Personal Weapons (hands,feet,teeth,etc.)"
20150101042902,"Personal Weapons (hands,feet,teeth,etc.)"
20150101051000,"Personal Weapons (hands,feet,teeth,etc.)"
20150101051300,Undetermined Firearm                    
20150101052102,"Personal Weapons (hands,feet,teeth,etc.)"
20150101053500,Handgun                                 
20150101055900,Handgun                                 
20150101062300,"Personal Weapons (hands,feet,teeth,etc.)"
20150101064500,"Personal Weapons (hands,feet,teeth,etc.)"
20150101065500,Not Applicable/None                     
20150101081201,"Personal Weapons (hands,feet,teeth,etc.)"
20150101093400,"Personal Weapons (hands,feet,teeth,etc.)"
20150101094200,Handgun                                 
20150101101801,"Personal Weapons (hands,feet,teeth,etc.)"
20150101105003,Undetermined Firearm                    
20150101110802,"Personal Weapons (hands,feet,teeth,etc.)"
20150101120705,"Personal Weapons (hands,feet,teeth,etc.)"
20150101122400,Vehicle                                 
20150101122400,"Personal Weapons (hands,feet,teeth,etc.)"
20150101123000,Other Cutting Instrument                
20150101130200,"Personal Weapons (hands,feet,teeth,etc.)"
20150101134000,"Personal Weapons (hands,feet,teeth,etc.)"
20150101135202,Other Weapon                            
20150101144301,"Personal Weapons (hands,feet,teeth,etc.)"
20150101145104,"Personal Weapons (hands,feet,teeth,etc.)"
20150101151605,"Blunt Object(club,hammer,etc)           "
20150101152601,"Personal Weapons (hands,feet,teeth,etc.)"
20150101153306,"Personal Weapons (hands,feet,teeth,etc.)"
20150101161100,"Personal Weapons (hands,feet,teeth,etc.)"
20150101164900,"Personal Weapons (hands,feet,teeth,etc.)"
20150101165100,"Personal Weapons (hands,feet,teeth,etc.)"
20150101165103,Handgun                                 
20150101170102,"Personal Weapons (hands,feet,teeth,etc.)"
20150101174902,"Personal Weapons (hands,feet,teeth,etc.)"
20150101175701,Handgun                                 
20150101181800,"Personal Weapons (hands,feet,teeth,etc.)"
20150101182801,"Personal Weapons (hands,feet,teeth,etc.)"
20150101184104,Handgun                                 
20150101184104,"Personal Weapons (hands,feet,teeth,etc.)"
20150101191800,"Personal Weapons (hands,feet,teeth,etc.)"
20150101193801,"Personal Weapons (hands,feet,teeth,etc.)"
20150101194201,"Personal Weapons (hands,feet,teeth,etc.)"
20150101201300,"Personal Weapons (hands,feet,teeth,etc.)"
