Complaint_No,Vehicle_Year,Vechicle_Make,Vehicle_Model,Vehicle_Color,Vehicle_Body
20130101152703,    ,Mercury                                                               ,MARQUIOS                      ,Tan/Tan                                                               ,4-Door                                                                
20130101210301,1987,Nissan                                                                ,MAXIMA                        ,"Blue, Light/Blue, Light                                               ",4-Door                                                                
20130102032300,1998,Nissan                                                                ,                              ,Black/Black                                                           ,4-Door                                                                
20130102065700,2004,Dodge                                                                 ,STRATUS                       ,Silver/Silver                                                         ,4-Door                                                                
20130102091702,1995,Dodge                                                                 ,STRATUS                       ,White/White                                                           ,4-Door                                                                
20130102092702,1967,Chevrolet                                                             ,CAPRICE                       ,Green/Green                                                           ,4-Door                                                                
20130102092702,1988,Chevrolet                                                             ,MONTE CARLO                   ,"Green, Dark/Green                                                     ",4-Door                                                                
20130102094002,2006,Chevrolet                                                             ,MALIBU                        ,Silver/Silver                                                         ,4-Door                                                                
20130102110900,1994,Ford                                                                  ,CROWN VICTORIA                ,Blue/Blue                                                             ,4-Door                                                                
20130102123502,2006,Kenworth Motor Truck Co.                                              ,                              ,"Blue, Dark/Blue, Dark                                                 ",Semi-Tractor                                                          
20130102135702,2000,Honda                                                                 ,CIVIC                         ,Black/Black                                                           ,2-Door                                                                
20130102145100,1998,Chevrolet                                                             ,MALIBU                        ,Green/Green                                                           ,4-Door                                                                
20130102160800,1999,General Motors Corp.                                                  ,DENALI                        ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20130102162300,2006,Buick                                                                 ,LASABRE                       ,Black/Black                                                           ,4-Door                                                                
20130102224602,2000,Jeep - 1989 and Newer                                                 ,CHEROKEE                      ,"Blue, Dark/Blue, Dark                                                 ",Sport Utility Vehicle                                                 
20130103062900,2000,Jeep - 1989 and Newer                                                 ,MP                            ,Gray/Gray                                                             ,Sport Utility Vehicle                                                 
20130103063803,2003,Ford                                                                  ,EXPEDITION                    ,Green/Green                                                           ,Sport Utility Vehicle                                                 
20130103071102,2002,Dodge                                                                 ,INTREPID                      ,Silver/Silver                                                         ,4-Door                                                                
20130103091002,2002,BMW                                                                   ,330 CI CN                     ,"Blue, Dark/Blue, Dark                                                 ",2-Door                                                                
20130103134302,1995,Lexus                                                                 ,GS300                         ,Gold/Gold                                                             ,4-Door                                                                
20130103143400,2013,Hyundai                                                               ,GENESIS                       ,Silver/Silver                                                         ,4-Door                                                                
20130103143401,2012,Dodge                                                                 ,AVENGER                       ,Black/Black                                                           ,4-Door                                                                
20130103172009,1999,Dodge                                                                 ,CARAVAN                       ,Burgundy/Burgundy                                                     ,Van                                                                   
20130103184901,2012,Jeep - 1989 and Newer                                                 ,PATRIOT                       ,Silver/Silver                                                         ,Sport Utility Vehicle                                                 
20130104063900,2001,Chevrolet                                                             ,SUBURBAN                      ,Orange/Orange                                                         ,Sport Utility Vehicle                                                 
20130104081900,2006,Honda                                                                 ,TRX250EX                      ,Black/Black                                                           ,Recreational Vehicle                                                  
20130104081900,2013,Yamaha                                                                ,YFM7RSEDB                     ,Black/Black                                                           ,Recreational Vehicle                                                  
20130104081900,2012,Yamaha                                                                ,YFZ450SE                      ,Black/Black                                                           ,Recreational Vehicle                                                  
20130104083200,2004,Dodge                                                                 ,STRATUS SE                    ,Gold/Gold                                                             ,4-Door                                                                
20130104132102,1983,Ford                                                                  ,                              ,Unknown/Unknown                                                       ,Van                                                                   
