Complaint_No,Weapon_Type
20140101000503,Handgun                                 
20140101002104,"Personal Weapons (hands,feet,teeth,etc.)"
20140101002603,Undetermined Firearm                    
20140101004803,"Personal Weapons (hands,feet,teeth,etc.)"
20140101011200,"Personal Weapons (hands,feet,teeth,etc.)"
20140101011702,Handgun                                 
20140101012401,Vehicle                                 
20140101012401,"Personal Weapons (hands,feet,teeth,etc.)"
20140101013604,"Personal Weapons (hands,feet,teeth,etc.)"
20140101013904,"Personal Weapons (hands,feet,teeth,etc.)"
20140101014002,"Personal Weapons (hands,feet,teeth,etc.)"
20140101014601,"Personal Weapons (hands,feet,teeth,etc.)"
20140101014903,Unknown/Not Stated                      
20140101015503,"Personal Weapons (hands,feet,teeth,etc.)"
20140101015503,Knife                                   
20140101020103,"Personal Weapons (hands,feet,teeth,etc.)"
20140101020402,"Personal Weapons (hands,feet,teeth,etc.)"
20140101021105,Not Applicable/None                     
20140101022602,"Personal Weapons (hands,feet,teeth,etc.)"
20140101024100,Handgun                                 
20140101024503,Pliers/Wrench                           
20140101024600,"Personal Weapons (hands,feet,teeth,etc.)"
20140101024700,"Personal Weapons (hands,feet,teeth,etc.)"
20140101025600,"Blunt Object(club,hammer,etc)           "
20140101025704,"Personal Weapons (hands,feet,teeth,etc.)"
20140101030200,"Personal Weapons (hands,feet,teeth,etc.)"
20140101033502,Knife                                   
20140101034001,"Personal Weapons (hands,feet,teeth,etc.)"
20140101034001,Other Cutting Instrument                
20140101040001,"Personal Weapons (hands,feet,teeth,etc.)"
20140101041200,"Personal Weapons (hands,feet,teeth,etc.)"
20140101042000,Not Applicable/None                     
20140101044500,"Personal Weapons (hands,feet,teeth,etc.)"
20140101052800,"Personal Weapons (hands,feet,teeth,etc.)"
20140101054502,Vehicle                                 
20140101060901,"Personal Weapons (hands,feet,teeth,etc.)"
20140101061002,"Personal Weapons (hands,feet,teeth,etc.)"
20140101072601,"Blunt Object(club,hammer,etc)           "
20140101072601,Vehicle                                 
20140101072601,Knife                                   
20140101081801,"Personal Weapons (hands,feet,teeth,etc.)"
20140101085401,Undetermined Firearm                    
20140101085700,"Personal Weapons (hands,feet,teeth,etc.)"
20140101091100,"Personal Weapons (hands,feet,teeth,etc.)"
20140101093302,Not Applicable/None                     
20140101101001,"Personal Weapons (hands,feet,teeth,etc.)"
20140101103200,"Personal Weapons (hands,feet,teeth,etc.)"
20140101103200,Knife                                   
20140101111201,"Personal Weapons (hands,feet,teeth,etc.)"
20140101114900,Handgun                                 
20140101120803,"Personal Weapons (hands,feet,teeth,etc.)"
20140101121701,"Personal Weapons (hands,feet,teeth,etc.)"
20140101135102,"Personal Weapons (hands,feet,teeth,etc.)"
20140101141701,Knife                                   
20140101155102,Handgun                                 
20140101160002,Handgun                                 
20140101164504,Handgun                                 
20140101175800,Knife                                   
20140101180202,"Personal Weapons (hands,feet,teeth,etc.)"
20140101183401,Asphyxiation                            
20140101193301,"Personal Weapons (hands,feet,teeth,etc.)"
20140101200304,Unknown/Not Stated                      
20140101211603,"Personal Weapons (hands,feet,teeth,etc.)"
20140101211801,Handgun                                 
20140101220703,"Personal Weapons (hands,feet,teeth,etc.)"
20140101221900,Handgun                                 
20140101223702,Handgun                                 
20140101235400,Not Applicable/None                     
20140102001202,"Personal Weapons (hands,feet,teeth,etc.)"
20140102005601,"Personal Weapons (hands,feet,teeth,etc.)"
20140102005800,"Personal Weapons (hands,feet,teeth,etc.)"
20140102025603,Handgun                                 
20140102025603,Shotgun                                 
20140102031602,Handgun                                 
20140102034800,"Personal Weapons (hands,feet,teeth,etc.)"
20140102103803,"Personal Weapons (hands,feet,teeth,etc.)"
20140102124702,"Personal Weapons (hands,feet,teeth,etc.)"
20140102125701,"Personal Weapons (hands,feet,teeth,etc.)"
20140102141200,"Personal Weapons (hands,feet,teeth,etc.)"
20140102141804,Knife                                   
20140102153702,Handgun                                 
20140102164202,"Personal Weapons (hands,feet,teeth,etc.)"
20140102181101,Handgun                                 
20140102184404,"Personal Weapons (hands,feet,teeth,etc.)"
20140102190300,"Personal Weapons (hands,feet,teeth,etc.)"
20140102194901,"Personal Weapons (hands,feet,teeth,etc.)"
20140102201603,Handgun                                 
20140102204000,"Personal Weapons (hands,feet,teeth,etc.)"
20140102204703,Handgun                                 
20140102205201,Handgun                                 
20140102210902,Knife                                   
20140102221702,"Personal Weapons (hands,feet,teeth,etc.)"
20140102224001,"Personal Weapons (hands,feet,teeth,etc.)"
20140103001400,Handgun                                 
20140103004502,"Personal Weapons (hands,feet,teeth,etc.)"
20140103012900,Other Weapon                            
20140103012900,"Blunt Object(club,hammer,etc)           "
20140103013800,"Personal Weapons (hands,feet,teeth,etc.)"
20140103013800,Handgun                                 
20140103015602,"Personal Weapons (hands,feet,teeth,etc.)"
20140103024203,"Personal Weapons (hands,feet,teeth,etc.)"
20140103033600,"Personal Weapons (hands,feet,teeth,etc.)"
20140103034002,"Blunt Object(club,hammer,etc)           "
20140103090202,"Personal Weapons (hands,feet,teeth,etc.)"
20140103093501,"Personal Weapons (hands,feet,teeth,etc.)"
20140103103900,"Personal Weapons (hands,feet,teeth,etc.)"
20140103111802,"Personal Weapons (hands,feet,teeth,etc.)"
20140103120300,"Personal Weapons (hands,feet,teeth,etc.)"
20140103120301,Handgun                                 
20140103120902,Knife                                   
20140103121401,"Personal Weapons (hands,feet,teeth,etc.)"
20140103125600,Knife                                   
20140103131900,"Personal Weapons (hands,feet,teeth,etc.)"
20140103141004,Unknown/Not Stated                      
20140103141702,"Blunt Object(club,hammer,etc)           "
20140103143405,Knife                                   
20140103144406,"Personal Weapons (hands,feet,teeth,etc.)"
20140103151004,Other Weapon                            
20140103151601,"Personal Weapons (hands,feet,teeth,etc.)"
20140103153100,"Blunt Object(club,hammer,etc)           "
20140103153100,"Personal Weapons (hands,feet,teeth,etc.)"
20140103154500,"Personal Weapons (hands,feet,teeth,etc.)"
20140103155401,"Personal Weapons (hands,feet,teeth,etc.)"
20140103160104,"Personal Weapons (hands,feet,teeth,etc.)"
20140103161002,"Personal Weapons (hands,feet,teeth,etc.)"
20140103171003,"Personal Weapons (hands,feet,teeth,etc.)"
20140103183601,"Personal Weapons (hands,feet,teeth,etc.)"
20140103183801,"Personal Weapons (hands,feet,teeth,etc.)"
20140103191304,"Blunt Object(club,hammer,etc)           "
20140103191902,"Personal Weapons (hands,feet,teeth,etc.)"
20140103200001,"Personal Weapons (hands,feet,teeth,etc.)"
20140103200002,Handgun                                 
20140103202402,"Personal Weapons (hands,feet,teeth,etc.)"
20140103203101,Handgun                                 
20140103204501,Handgun                                 
20140103212501,Handgun                                 
20140103215102,Handgun                                 
20140103221800,Handgun                                 
20140103223000,"Personal Weapons (hands,feet,teeth,etc.)"
20140103224201,"Personal Weapons (hands,feet,teeth,etc.)"
20140103233901,Undetermined Firearm                    
20140104002000,"Personal Weapons (hands,feet,teeth,etc.)"
20140104012402,Handgun                                 
20140104013002,"Personal Weapons (hands,feet,teeth,etc.)"
20140104013502,Knife                                   
20140104022602,"Personal Weapons (hands,feet,teeth,etc.)"
20140104025101,"Personal Weapons (hands,feet,teeth,etc.)"
20140104051500,Other Weapon                            
20140104062902,"Personal Weapons (hands,feet,teeth,etc.)"
20140104102000,"Personal Weapons (hands,feet,teeth,etc.)"
20140104102502,"Personal Weapons (hands,feet,teeth,etc.)"
20140104104701,"Personal Weapons (hands,feet,teeth,etc.)"
20140104115302,"Personal Weapons (hands,feet,teeth,etc.)"
20140104120802,"Personal Weapons (hands,feet,teeth,etc.)"
20140104125704,"Personal Weapons (hands,feet,teeth,etc.)"
20140104135602,Handgun                                 
20140104140301,"Personal Weapons (hands,feet,teeth,etc.)"
20140104145600,"Personal Weapons (hands,feet,teeth,etc.)"
20140104153300,Knife                                   
20140104160201,"Personal Weapons (hands,feet,teeth,etc.)"
20140104162100,"Personal Weapons (hands,feet,teeth,etc.)"
20140104172400,"Personal Weapons (hands,feet,teeth,etc.)"
20140104174101,Handgun                                 
20140104175900,"Blunt Object(club,hammer,etc)           "
20140104182400,"Personal Weapons (hands,feet,teeth,etc.)"
20140104183001,"Personal Weapons (hands,feet,teeth,etc.)"
20140104185201,"Personal Weapons (hands,feet,teeth,etc.)"
20140104191804,Handgun                                 
20140104194100,"Blunt Object(club,hammer,etc)           "
20140104195801,"Personal Weapons (hands,feet,teeth,etc.)"
20140104201101,Handgun                                 
20140104201301,Handgun                                 
20140104211401,"Personal Weapons (hands,feet,teeth,etc.)"
20140104213301,"Personal Weapons (hands,feet,teeth,etc.)"
20140104213500,Handgun                                 
20140104220602,"Personal Weapons (hands,feet,teeth,etc.)"
